transcript,VHmode,Hmode,Nmode,Lmode
AT1G01270.1,NA,NA,25,
AT1G01870.1,66,,,
AT1G01890.1,NA,27,25;32,56
AT1G02480.1,NA,NA,NA,25
AT1G02600.1,NA,38;53,39;47,48
AT1G02760.1,NA,27,25;32,56
AT1G03515.1,NA,65,40;47;48,38;49
AT1G03570.1,NA,NA,25,20;32
AT1G03640.1,NA,NA,NA,25
AT1G04320.1,NA,64,,46;47;48
AT1G04720.1,11,20,13;26,50
AT1G05390.1,NA,49,33,26
AT1G05980.1,NA,NA,NA,24
AT1G06480.1,NA,NA,42;51,49;66
AT1G06610.1,NA,49,,25;40;56
AT1G06860.1,NA,64,,46;47;48
AT1G06880.1,NA,64,,46;47;48
AT1G07100.1,NA,26;51,42;49;67,57;66
AT1G07580.1,NA,49,,25;40;56
AT1G07760.1,NA,38;53,39;47,48
AT1G08240.1,NA,65,47,48;49
AT1G08870.1,47,,49,25;40
AT1G08950.1,NA,39,,
AT1G09110.1,NA,47;65,48,32;49
AT1G10440.1,NA,39,,
AT1G11010.1,11,20,13;26,50
AT1G11030.1,NA,NA,13;49,
AT1G11550.1,55,26,11;28;39,12;20
AT1G11640.1,NA,11;13,,22;49
AT1G12510.1,NA,67,,61;62;63
AT1G12590.1,NA,65,47,48;49
AT1G13010.1,25,,11;27,
AT1G13240.1,NA,NA,42;51,49;66
AT1G13720.1,NA,46;65,49,64
AT1G13840.1,47,,49,25;40
AT1G13850.1,47,,49,25;40
AT1G15090.1,NA,20;49,33,26
AT1G15450.1,NA,11;13,,22;49
AT1G15650.1,27;48,,6;10,11;57;59
AT1G16100.1,NA,27,25;32,56
AT1G16450.1,40,25,6;11,27
AT1G17570.1,27;48,6;10,,11;57;59
AT1G17660.1,NA,65,40;47;48,38;49
AT1G17670.1,NA,67,,61;62;63
AT1G18430.1,NA,65,40;47;48,38;49
AT1G18820.1,56,11;27,,29
AT1G20040.1,NA,11;26;59,28,20
AT1G20170.1,NA,47;65,48,32;49
AT1G20210.1,47,65,40;48;49,38
AT1G20250.1,NA,27,25;32,56
AT1G20420.1,NA,39,,
AT1G20820.1,NA,11;13,,22;49
AT1G21420.1,NA,NA,32;47;48,
AT1G21800.1,NA,NA,32;47;48,
AT1G22320.1,11,20,13;26,50
AT1G24080.1,NA,67,,61;62;63
AT1G26430.1,NA,49,33,26
AT1G26490.1,47,,49,25;40
AT1G28720.1,39,,,
AT1G28730.1,NA,39;46,47,48;53
AT1G28740.1,NA,39,,
AT1G28750.1,NA,39,,
AT1G28770.1,NA,39,,
AT1G28780.1,NA,39,,
AT1G28790.1,NA,39,,
AT1G28800.1,NA,39,,
AT1G28810.1,NA,39,,
AT1G28820.1,NA,39,,
AT1G28830.1,NA,39,,
AT1G28840.1,NA,39,,
AT1G28850.1,NA,39,,
AT1G28860.1,NA,39,,
AT1G28870.1,NA,39,,
AT1G28880.1,NA,39,,
AT1G28890.1,NA,39,,
AT1G28900.1,NA,39,,
AT1G28910.1,NA,39,,
AT1G28920.1,NA,39,,
AT1G28930.1,NA,39,,
AT1G28940.1,NA,39,,
AT1G28950.1,NA,39,,
AT1G28970.1,NA,39,,
AT1G28980.1,NA,39,,
AT1G28990.1,NA,39,,
AT1G29210.1,NA,48;66,49,21;33;50
AT1G30430.1,NA,48;66,49,21;33;50
AT1G30830.1,NA,67,,61;62;63
AT1G31110.1,NA,NA,42,49
AT1G32620.1,11,20,13;26,50
AT1G33370.1,NA,NA,NA,NA
AT1G36350.1,NA,NA,11;25,66
AT1G42120.1,11;31,13;16;22;65,,
AT1G43820.1,NA,NA,40;47;48;65,38;49
AT1G45234.1,NA,39,,
AT1G45238.1,NA,39,,
AT1G45240.1,NA,39,,
AT1G45242.1,NA,39,,
AT1G45244.1,NA,39,,
AT1G45246.1,NA,39,,
AT1G48080.1,NA,27,25;32,56
AT1G49020.1,NA,65,40;47;48,38;49
AT1G49280.1,41,,,
AT1G49460.1,25,,66,49;51
AT1G49690.1,NA,NA,NA,48
AT1G50070.1,55,26,11;28;39,12;20
AT1G50100.1,55,26,11;28;39,12;20
AT1G52170.1,NA,NA,33,26;49
AT1G52350.1,NA,NA,13;49,
AT1G52860.1,25,,66,49;51
AT1G53220.1,NA,26;51,42;49;67,57;66
AT1G53410.1,NA,NA,NA,24
AT1G54670.1,47,,49,25;40
AT1G55625.1,NA,48,28,57;59
AT1G56730.1,11;27;48,,,57;59
AT1G56740.1,25,32,,
AT1G56750.1,25,32,,
AT1G56760.1,27;48,,6;10,11;57;59
AT1G56770.1,25,32,,
AT1G56780.1,25,32,,
AT1G56790.1,11;27;48,,,57;59
AT1G56800.1,25,32,,
AT1G56810.1,25,32,,
AT1G56820.1,27;48,,6;10,11;57;59
AT1G56830.1,25,32,,
AT1G56840.1,25,32,,
AT1G56850.1,27,,6;10,11;57;59
AT1G56860.1,25,32,,
AT1G56870.1,25,32,,
AT1G56880.1,27;48,,6;10,11;57;59
AT1G56890.1,25,32,,
AT1G56900.1,25,32,,
AT1G56910.1,27,,6;10,11;57;59
AT1G56920.1,25,32,,
AT1G56930.1,25,32,,
AT1G56940.1,27;48,,6;10,11;57;59
AT1G56950.1,25,32,,
AT1G56960.1,25,32,,
AT1G56970.1,27;48,,6;10,11;57;59
AT1G56980.1,25,32,,
AT1G56990.1,25,32,,
AT1G57000.1,27;48,,6;10,11;57;59
AT1G57010.1,25,32,,
AT1G57020.1,25,32,,
AT1G57030.1,27;48,,6;10,11;57;59
