transcript,VHmode,Hmode,Nmode,Lmode
ath-miR838,NA,NA,NA,NA
ath-miR165a-3p,NA,NA,NA,NA
ath-miR165a-5p,NA,NA,NA,NA
ath-miR2112-3p,NA,NA,NA,11
ath-miR2112-5p,NA,NA,NA,NA
ath-miR5640,NA,NA,NA,NA
ath-miR5656,NA,NA,NA,NA
ath-miR847,NA,NA,NA,NA
ath-miR171b-3p,NA,12,,14
ath-miR171b-5p,NA,NA,NA,NA
ath-miR472-3p,9,,,
ath-miR472-5p,NA,NA,NA,NA
ath-miR8166,NA,NA,NA,NA
ath-miR830-3p,NA,NA,NA,NA
ath-miR830-5p,NA,NA,NA,NA
ath-miR159b-5p,NA,NA,NA,NA
ath-miR159b-3p,NA,NA,NA,NA
ath-miR837-5p,NA,NA,NA,NA
ath-miR837-3p,NA,NA,NA,NA
ath-miR169h,NA,NA,NA,NA
ath-miR864-5p,NA,NA,NA,NA
ath-miR864-3p,NA,NA,NA,NA
ath-miR394a,NA,NA,NA,NA
ath-miR5999,NA,NA,NA,NA
ath-miR781a,NA,NA,NA,NA
ath-miR781b,NA,NA,NA,NA
ath-miR395a,NA,NA,NA,NA
ath-miR395b,NA,NA,NA,NA
ath-miR395c,NA,NA,NA,NA
ath-miR399a,NA,NA,NA,NA
ath-miR167d,NA,NA,NA,NA
ath-miR404,NA,NA,NA,NA
ath-miR5648-5p,NA,NA,16,
ath-miR5648-3p,NA,NA,NA,16
ath-miR400,NA,NA,NA,NA
ath-miR5654-5p,NA,NA,NA,NA
ath-miR5654-3p,NA,NA,NA,NA
ath-miR829-3p.2,NA,NA,NA,NA
ath-miR829-3p.1,NA,NA,NA,NA
ath-miR829-5p,NA,NA,NA,NA
ath-miR2933a,NA,NA,NA,NA
ath-miR856,NA,NA,NA,NA
ath-miR5630a,NA,NA,NA,NA
ath-miR5630b,NA,NA,NA,NA
ath-miR5666,NA,7,,
ath-miR773b-3p,NA,NA,NA,11
ath-miR773b-5p,NA,NA,NA,NA
ath-miR773a,NA,NA,NA,NA
ath-miR5645d,NA,NA,NA,NA
ath-miR5024-3p,11,,,6
ath-miR5024-5p,NA,NA,NA,14
ath-miR5025,NA,NA,NA,NA
ath-miR5664,NA,NA,NA,NA
ath-miR161.2,NA,NA,NA,NA
ath-miR161.1,NA,NA,16,
ath-miR157d,NA,NA,NA,NA
ath-miR5636,NA,NA,9,14
ath-miR5663-3p,NA,NA,NA,NA
ath-miR5663-5p,NA,NA,NA,NA
ath-miR5653,NA,NA,NA,NA
ath-miR406,NA,NA,NA,NA
ath-miR156i,NA,NA,NA,NA
ath-miR169d,NA,NA,NA,NA
ath-miR169e,NA,NA,NA,6
ath-miR5635b,NA,NA,NA,NA
ath-miR158b,NA,NA,NA,NA
ath-miR5649b,NA,NA,NA,NA
ath-miR5649a,NA,NA,NA,NA
ath-miR5647,NA,NA,NA,NA
ath-miR426,NA,NA,NA,NA
ath-miR859,NA,NA,NA,NA
ath-miR774a,NA,NA,NA,NA
ath-miR774b-5p,NA,NA,NA,NA
ath-miR774b-3p,NA,NA,NA,NA
ath-miR5022,NA,NA,NA,NA
ath-miR4227,NA,NA,NA,NA
ath-miR842,NA,NA,NA,NA
ath-miR846-5p,NA,NA,NA,11
ath-miR846-3p,NA,NA,NA,NA
ath-miR776,NA,NA,NA,NA
ath-miR171c-3p,NA,12,,14
ath-miR171c-5p,NA,NA,NA,NA
ath-miR413,NA,NA,NA,NA
ath-miR399b,6,,,
ath-miR5652,NA,NA,NA,NA
ath-miR5018,NA,NA,19,7
ath-miR5014a-5p,NA,NA,NA,NA
ath-miR5014a-3p,NA,NA,NA,NA
ath-miR5014b,NA,NA,NA,NA
ath-miR163,NA,11,,
ath-miR157a-3p,NA,13,,
ath-miR157a-5p,NA,NA,NA,NA
ath-miR157b-5p,NA,NA,NA,NA
ath-miR157b-3p,NA,NA,NA,NA
ath-miR414,NA,NA,NA,NA
ath-miR839-5p,NA,6,,
ath-miR395d,NA,NA,NA,NA
ath-miR395e,NA,NA,NA,NA
ath-miR395f,NA,NA,NA,NA
ath-miR777,NA,NA,NA,NA
ath-miR858b,NA,NA,NA,NA
ath-miR858a,NA,NA,NA,NA
ath-miR159a,NA,NA,NA,NA
ath-miR415,NA,NA,8,
ath-miR835-3p,NA,NA,NA,NA
ath-miR835-5p,NA,NA,NA,NA
ath-miR394b-5p,NA,NA,NA,NA
ath-miR394b-3p,NA,8,,
ath-miR4228-5p,NA,NA,NA,NA
ath-miR4228-3p,NA,NA,NA,8;13
ath-miR402,NA,NA,8,
ath-miR775,NA,NA,NA,NA
ath-miR833a-5p,NA,NA,NA,NA
ath-miR833b,NA,NA,NA,NA
ath-miR833a-3p,NA,NA,NA,NA
ath-miR5642b,NA,NA,NA,NA
ath-miR840-3p,NA,NA,13,
