transcript,VHmode,Hmode,Nmode,Lmode
AT1G04263.1,NA,81,,
AT1G08115.1,132,44;50;83,12;153,45
AT1G04733.1,76;146,184,24;77;83;180,16;178
AT1G04897.1,16,48;93;110,9,50;111
AT1G04907.1,129,43;49;60;80,11;150,44;56
AT1G05057.1,76;146,184,24;77;83;178,16;180;189
AT1G05273.1,80;150;184,188,28;81;87;189,20;182
AT1G05673.1,35,106,17;66,
AT1G05853.1,NA,71,,
AT1G06873.1,NA,27;59;65,22,60
AT1G06877.1,38,116,31,
AT1G07537.1,57;111,,,
AT1G07827.1,NA,NA,NA,NA
AT1G07883.1,NA,NA,NA,NA
AT1G61275.1,154,107;158,52;55;80;111,82
AT1G08367.1,NA,NA,NA,NA
AT1G08737.1,NA,NA,NA,75
AT1G08987.1,NA,NA,NA,NA
AT1G09143.1,NA,NA,NA,NA
AT1G09237.1,NA,NA,NA,NA
AT1G09893.1,NA,NA,NA,NA
AT1G09947.1,NA,NA,124,
AT2G04375.1,74;144;178,182,22;75;81;183;187,14;176
AT2G04455.1,74;144,182;183,22;75;81;187,14;176
AT2G06455.1,NA,NA,NA,NA
AT2G07295.1,NA,NA,NA,89
AT3G01695.1,125;128,37;43;76,66;146,38;65
AT3G01715.1,125;128,37;43;76,66;146,38;65
AT3G06900.1,23,55;100;117;139,16,57;101;118
AT3G13855.1,NA,NA,6;47;55,42
AT3G14735.1,NA,NA,6;47;55,42
AT3G04905.1,NA,NA,87,52
AT3G05115.1,NA,NA,NA,NA
AT3G07265.1,NA,81,,
AT3G08575.1,88,,,
AT3G08605.1,65,38;50;53;59;80,62,56;75
AT3G08615.1,NA,NA,NA,NA
AT3G56705.1,308;378,181;215;416,256;309;315,248;421
AT3G08695.1,NA,167,,164
AT3G56825.1,34;359;668;738;776,421;541;770,616;669;675;780,353;365;608
AT3G08735.1,NA,NA,163,
AT3G57645.1,181;473;577;793,132;543;581;799,77;304;338;346;421;474;582;586;751,54;380;413;480;575
AT3G08945.1,NA,138,83;89;127,12
AT3G57765.1,108;588;658;692,76;149;461;696,197;288;536;589;595;697;701,144;178;246;283;462;528;690;769
AT3G09005.1,NA,111;141,81;142;148,
AT4G03995.1,73,181;182,21;74;80;143;186,13;175
AT4G04185.1,NA,81,,
AT4G04615.1,NA,NA,13;54;62,7;49
AT4G06375.1,85,42;93;114,39,115
AT4G06405.1,NA,21;27,,22
AT4G07120.1,124,36;42;75,145,37
AT4G07145.1,NA,61,62,53
AT4G07875.1,NA,NA,7;48;56,43
AT4G08755.1,NA,NA,66,17
AT4G09135.1,NA,NA,49,8;44
AT5G09585.1,72;142;174,180,20;73;79,12;116;185
AT5G01845.1,NA,NA,15,9
AT5G02245.1,NA,NA,25,17;77
AT5G02255.1,NA,NA,NA,NA
AT5G04085.1,20,52;97;114;136,13,54;115
AT5G04105.1,137,50;56;88,18;80;158,51
AT5G04305.1,20,52;97;114,13,54;115
AT5G04315.1,137,50;56;88,18;158,51
AT5G04455.1,129,42;48;80,10;150,43
AT5G04465.1,12,44;89;106,,46
AT5G40395.1,127,,109;168,
AT5G06055.1,NA,NA,NA,NA
AT5G46315.1,201;740,120;154;170;608;643;894,132;324;365;373;466;595;775,66;129;318;360;673
AT5G06815.1,NA,95,,
AT5G07335.1,NA,NA,NA,134
AT5G07345.1,NA,NA,NA,45;64;66
AT5G07405.1,NA,NA,NA,NA
AT5G07415.1,NA,NA,79,
AT5G07775.1,NA,NA,NA,NA
AT5G08025.1,NA,NA,NA,NA
AT5G08115.1,NA,NA,NA,NA
AT5G08810.1,NA,100,108;151,10
AT5G61455.1,125;565;669;745,30;64;106;313;374;473;673,98;479;513;566;572;674;678;753,347;474;505;667
AT5G09010.1,NA,NA,125,52
AT5G09080.1,NA,NA,42;46,45;53
AT5G09140.1,53,,,47
AT5G09945.1,NA,NA,141,73
