transcript,VHmode,Hmode,Nmode,Lmode
AT1G04187.1,NA,NA,NA,NA
AT1G04193.1,NA,34;75,42,58
AT1G03502.1,NA,NA,NA,NA
AT1G03506.1,NA,NA,NA,NA
AT1G04197.1,NA,20,11;116,
AT1G04213.1,NA,105,,
AT1G03743.1,NA,NA,33,
AT1G03746.1,NA,NA,NA,NA
AT1G04217.1,NA,19,10;115;137,48
AT1G03935.1,NA,NA,NA,NA
AT1G04223.1,NA,34;75,42,58
AT1G04227.1,NA,NA,NA,NA
AT1G04267.1,NA,NA,76,
AT1G04273.1,NA,NA,NA,NA
AT1G04277.1,NA,8,,132
AT1G04517.1,NA,NA,19,
AT1G04527.1,NA,NA,20,
AT1G04547.1,NA,NA,19,25
AT1G07702.1,NA,NA,23;39,40
AT1G12013.1,10;51,69,,
AT1G12015.1,NA,NA,71,
AT1G05137.1,NA,NA,NA,NA
AT1G05247.1,NA,NA,NA,NA
AT1G05417.1,NA,NA,NA,NA
AT1G05423.1,NA,22,28,
AT1G05427.1,NA,23,29,
AT1G05433.1,NA,NA,NA,NA
AT1G19373.1,NA,NA,NA,NA
AT1G19376.1,NA,24;28,,
AT1G20015.1,NA,48;58,,
AT1G05563.1,NA,NA,NA,NA
AT1G05907.1,NA,NA,NA,62
AT1G05917.1,NA,93,59;87,76
AT1G26233.1,NA,NA,42;114,
AT1G05993.1,NA,NA,NA,NA
AT1G05997.1,NA,NA,79;186,126
AT1G06033.1,NA,NA,139,81
AT1G06087.1,NA,NA,NA,NA
AT1G29071.1,79,,,81
AT1G06233.1,NA,NA,38,
AT1G06237.1,NA,17,,
AT1G06243.1,NA,NA,NA,NA
AT1G06247.1,NA,NA,77,
AT1G06253.1,62,79,,44
AT1G06263.1,NA,NA,32,
AT1G06267.1,NA,17,,
AT1G06273.1,NA,NA,NA,NA
AT1G06277.1,NA,NA,79,
AT1G06283.1,62,79,,44
AT1G06397.1,95,86;102,90;117,
AT1G06453.1,NA,20;93;127,90,74;105
AT1G06457.1,130;136,48,,74
AT1G06463.1,NA,86,46,169;174
AT1G06467.1,NA,NA,22,
AT1G06547.1,NA,NA,NA,NA
AT1G32385.1,NA,NA,NA,NA
AT1G06553.1,17,23;61;121,,12
AT1G06667.1,NA,NA,19,
AT1G06673.1,NA,19,,
AT1G07393.1,NA,NA,NA,NA
AT1G07487.1,21,,26;33,22
AT1G07593.1,NA,NA,NA,NA
AT1G07897.1,64,60,28;31,
AT1G07903.1,NA,NA,7;85,58
AT1G07957.1,NA,NA,NA,74
AT1G08107.1,NA,NA,NA,NA
AT1G08113.1,NA,NA,NA,76
AT1G08117.1,NA,NA,52,
AT1G08123.1,NA,NA,50,
AT1G08327.1,NA,NA,NA,NA
AT1G08347.1,NA,NA,NA,NA
AT1G08353.1,NA,NA,NA,26
AT1G08643.1,NA,14,,
AT1G08937.1,NA,NA,NA,8
AT1G09027.1,45;50;84,123,,78
AT1G09083.1,130,,23,
AT1G09087.1,75,,,
AT1G09333.1,NA,NA,NA,121;127
AT1G74453.1,NA,42,104,
AT1G74456.1,NA,NA,NA,74;75
AT1G09467.1,NA,NA,NA,33
AT1G09533.1,NA,NA,116,110
AT1G75163.1,NA,NA,NA,NA
AT1G75166.1,NA,24;28,,
AT1G09787.1,NA,NA,NA,NA
AT1G09867.1,NA,NA,NA,97
AT1G09873.1,NA,NA,NA,NA
AT1G09877.1,NA,NA,NA,NA
AT1G09883.1,NA,NA,NA,NA
AT2G05765.1,NA,NA,70,
AT2G04955.1,33,139,58,25;130
AT2G04965.1,NA,NA,60,
AT2G05525.1,NA,26,,
AT2G05565.1,NA,NA,71,
AT2G06855.1,NA,NA,63,59;68
AT2G06865.1,NA,36;140,61;107,131
AT2G17295.1,NA,NA,71,
AT2G20721.1,NA,NA,57,
AT2G20722.1,NA,NA,NA,NA
AT2G20723.1,NA,NA,NA,NA
AT2G07605.1,NA,NA,78,85
AT2G07615.1,NA,NA,74,
AT2G08370.1,NA,NA,19,
AT2G08375.1,NA,NA,25,
AT2G08390.1,NA,NA,19,
AT2G08580.1,NA,NA,12;39,
AT2G08585.1,39,18,66,
AT2G35382.1,NA,NA,NA,NA
AT2G35384.1,NA,NA,NA,NA
AT2G35387.1,NA,NA,NA,9
AT2G08725.1,NA,NA,NA,24
AT2G35742.1,NA,NA,NA,NA
AT2G08755.1,NA,NA,44,
AT2G08760.1,178,39;125;181,106;117;152;205,118;173;206
AT2G08765.1,NA,NA,NA,38;42
AT2G35744.1,NA,NA,NA,NA
AT2G35747.1,NA,NA,45,12
AT2G08770.1,179,39;93;124;182,116;153;206;207;210,105;118;174
AT2G08860.1,118,13;22;113,9;74,18;80
AT2G08900.1,NA,NA,NA,NA
AT2G08905.1,NA,NA,NA,NA
AT2G08910.1,NA,NA,NA,NA
AT2G43137.1,NA,NA,34,46
AT2G43138.1,36,,,
AT2G43139.1,NA,36,,
AT2G43141.1,35,,,
AT2G09460.1,NA,20,,18
AT2G09465.1,NA,6;20;26;108,49,18;71
AT2G09680.1,NA,28,,
AT2G09685.1,NA,31,,24
AT2G09690.1,NA,NA,NA,10
AT2G09695.1,24,16;46,11,
AT2G09700.1,81;89,,,24
AT2G09705.1,83;91,,,25
AT2G09815.1,NA,NA,108,59
AT3G01313.1,NA,NA,NA,NA
AT3G01316.1,NA,NA,NA,NA
AT3G00985.1,NA,NA,NA,NA
AT3G01145.1,NA,NA,63,35
AT3G01155.1,102,,,15
AT3G02045.1,NA,48,32;106,
AT3G02205.1,NA,47,,
AT3G02385.1,NA,NA,30,
AT3G02435.1,NA,NA,63,
AT3G02445.1,NA,NA,NA,63
AT3G13525.1,NA,NA,NA,NA
AT3G02725.1,NA,NA,NA,NA
AT3G02795.1,56,,,90;102
AT3G14475.1,83,20,35;110,88
AT3G03175.1,NA,NA,NA,29
AT3G03415.1,24,,,19
AT3G03425.1,NA,NA,NA,NA
AT3G03445.1,79;92;98,129,,
AT3G03585.1,52,,,
AT3G21805.1,NA,48,29,82
AT3G04155.1,NA,NA,NA,30
AT3G04165.1,39,,30;46,
AT3G04175.1,55,,,96
AT3G24612.1,NA,NA,NA,NA
AT3G24614.1,NA,40;112,,
AT3G24615.1,NA,NA,46,
AT3G04985.1,NA,79,64,
AT3G27865.1,NA,NA,50,
AT3G05325.1,NA,47,,
AT3G05335.1,NA,NA,NA,NA
AT3G05355.1,NA,48,,
AT3G05715.1,31,11,68;77,13
AT3G07715.1,NA,NA,NA,54
AT3G47342.1,NA,73,,38
AT3G07725.1,NA,141,30;138,148
AT3G07735.1,NA,NA,NA,NA
AT3G47347.1,NA,NA,62;68;72,
AT3G47348.1,NA,43,,
AT3G08165.1,7,,,
AT3G50825.1,NA,60;69,,
AT3G08210.1,NA,28,,
AT3G08275.1,NA,NA,NA,NA
AT3G08485.1,25,,,
AT3G58193.1,NA,54,,
AT3G58196.1,NA,54,,
AT3G09225.1,NA,27;49,104,
AT3G09865.1,NA,45;85,,60
AT4G03915.1,20,7,72,
AT4G03925.1,NA,59,16,53
AT4G02555.1,NA,NA,NA,NA
AT4G04205.1,NA,NA,NA,28
AT4G04465.1,NA,31;72,39,55;110
AT4G03295.1,NA,NA,NA,NA
AT4G04475.1,NA,NA,NA,NA
AT4G04485.1,NA,20,11,114
AT4G05045.1,NA,NA,NA,NA
AT4G05055.1,41,,137,138
AT4G05048.1,NA,NA,NA,108;115
AT4G06010.1,NA,NA,47,
AT4G06015.1,NA,NA,NA,NA
AT4G13245.1,NA,NA,NA,NA
AT4G06240.1,NA,NA,31,45;84
AT4G06245.1,NA,NA,NA,35
AT4G06250.1,41,,,
AT4G06255.1,NA,NA,43,
AT4G06305.1,NA,NA,54,
AT4G06310.1,41,,,
AT4G06315.1,NA,NA,NA,32
AT4G06320.1,NA,NA,NA,33
AT4G15258.1,NA,NA,48,62;101
AT4G06705.1,NA,NA,13,123
AT4G07075.1,NA,35,36;45,43
AT4G25631.1,NA,NA,NA,NA
AT4G26365.1,NA,NA,38,
AT4G07625.1,NA,NA,NA,NA
AT4G07635.1,NA,NA,NA,NA
AT4G08125.1,NA,NA,NA,85
AT4G08155.1,NA,NA,NA,79
AT4G08165.1,NA,NA,NA,84
AT4G08175.1,NA,NA,NA,84
AT4G08235.1,NA,NA,NA,100
AT4G08325.1,23,25;57;89,77;120,
AT4G08425.1,64;69,117;153,,111
AT4G08615.1,NA,NA,NA,NA
AT4G08625.1,NA,NA,NA,NA
AT4G09475.1,NA,NA,NA,NA
AT4G39361.1,NA,49;78,24,
AT4G09845.1,NA,NA,NA,NA
AT4G39363.1,77,49,23;59,72;73;85
AT4G39364.1,NA,52;80,26,88
AT4G39366.1,77,49,23,72;73
AT5G00750.1,NA,NA,73;76,42
AT5G00755.1,NA,NA,NA,NA
AT5G00760.1,NA,23,67,
AT5G00765.1,NA,99,,28
AT5G01135.1,NA,10,41,
AT5G01145.1,NA,112;137,40,6
AT5G01165.1,NA,NA,NA,NA
AT5G01195.1,NA,72,,
AT5G01495.1,98,,13;94,25;99
AT5G01505.1,123,51,,63;120;124
AT5G01515.1,135,,61,136
AT5G01785.1,NA,7;130,132,
AT5G10572.1,NA,NA,NA,109
AT5G13225.1,NA,NA,NA,NA
AT5G02295.1,NA,NA,NA,NA
AT5G02305.1,NA,NA,NA,NA
AT5G02315.1,NA,47,,22
AT5G02325.1,NA,NA,NA,91
AT5G02565.1,191,,231,240
AT5G02575.1,48,,,
AT5G02655.1,NA,NA,NA,NA
AT5G02665.1,NA,NA,NA,NA
AT5G02675.1,NA,NA,NA,64
AT5G02915.1,NA,7;78,,72
AT5G04425.1,NA,46,,114
AT5G04545.1,NA,NA,128,24
AT5G04945.1,NA,NA,NA,NA
AT5G05375.1,NA,NA,NA,NA
AT5G05385.1,NA,NA,49,
AT5G06115.1,20,,7;96,
AT5G41471.1,NA,86,88,
AT5G06305.1,NA,NA,NA,NA
AT5G06565.1,NA,NA,NA,NA
AT5G44286.1,NA,NA,36,
AT5G06825.1,NA,NA,NA,NA
AT5G06835.1,61,,,
AT5G07095.1,NA,76;135,120,
AT5G07105.1,128,,,47
AT5G07725.1,NA,NA,47,36
AT5G51174.1,81,,,
AT5G07735.1,NA,NA,NA,NA
AT5G52471.1,NA,NA,NA,NA
AT5G53902.1,170;191;432;516;532,24;60;316,88;98;360;397;429;450;499;515,63;143;393;438;478;527;529
AT5G54075.1,208;291;307,84,136;173;205;226;275;290,54;169;214;254;302;304
AT5G08495.1,145,22,,
AT5G08515.1,NA,NA,50,
AT5G08525.1,NA,NA,NA,NA
AT5G08805.1,62,,32;50;94,
AT5G58595.1,NA,NA,NA,NA
AT5G08850.1,NA,NA,71;77;80,
AT5G08860.1,NA,77,,42
AT5G08865.1,NA,NA,NA,129
AT5G09000.1,NA,NA,61,
AT5G09005.1,NA,NA,21;27,
AT5G09020.1,NA,NA,NA,12
