transcript,VHmode,Hmode,Nmode,Lmode
AT1G01010.1,444;859;1193,83;363;569;674;756;849;937;1131;1213;1268;1317,67;168;175;243;368;594;853;1012;1218;1312,77;117;391;395;414;420;421;608;612;793;902;920;980;1050;1126;1127;1132;1210
AT1G01020.2,76,70;79;95,797,10;176;187;484
AT1G01020.6,76,70;79;95,654,10;142;153;164;341
AT1G01020.1,469,167;223;320;463;472;488,303;356;1039,310;321;397;403;569;580;877
AT1G01020.4,469,167;223;320;463;472;488;674,303;356;1107,310;321;397;403;535;546;557;582;945
AT1G01020.5,469,167;223;320;463;472;488,303;356;1016,310;321;397;403;535;546;557;854
AT1G01020.3,469,167;223;320;463;472;488;697,303;356;1130,310;321;397;403;569;580;605;968
AT1G01030.2,521;1045;1091;1159;1383;1426;1561,15;140;699;889;919;1017;1471,413;630;988;1400;1463;1790,16;703;706;709;721;805;1024;1048;1153;1154;1239;1257;1293;1299;1329;1330;1394
AT1G01030.1,521;1045;1091;1228;1452;1495;1630,15;140;699;889;919;1017;1540,413;630;988;1469;1532;1859,16;703;706;709;721;805;1024;1048;1222;1223;1308;1326;1362;1368;1398;1399;1463
AT1G01040.1,725;828;895;1087;1422;1864;1906;1970;2177;2200;2565;2689;2887;3454;3864;4626;4677;5833;5849;5880,217;450;614;761;778;890;1018;1149;1395;1861;1893;1915;1921;2210;2278;2289;2309;2320;2510;2619;2665;2684;3017;3039;3115;3211;3283;3440;3496;3749;3815;4013;4021;4068;4105;4230;4601;4696;4757;4921;5421;5422;5604;5619;5758;5970;6047,60;461;467;551;605;694;1012;1140;1144;1216;1374;1400;1443;1938;1949;2058;2179;2197;2311;2499;2511;2535;2596;2607;2661;2685;2896;2960;3009;3010;3157;3182;3447;3649;3742;3790;3898;4003;4415;4528;5201;5287;5290;5382;5494;5624;5743;5867;5934;5974,629;714;1027;1210;1336;1425;1963;1978;2034;2312;2314;2452;2457;2656;2697;2764;2782;2809;2890;2990;3018;3335;3386;3490;3925;4378;4502;4751;4808;5066;5207;5284;5450;5477;5500;5610;5635;5680;6017;6031;6073
AT1G01040.2,430;533;600;792;1127;1569;1611;1675;1882;1905;2270;2394;2592;3159;3572;4334;4385;5541;5557;5588,155;319;466;483;595;723;854;1100;1566;1598;1620;1626;1915;1983;1994;2014;2025;2215;2324;2370;2389;2722;2744;2820;2916;2988;3145;3204;3457;3523;3721;3729;3776;3813;3938;4309;4404;4465;4629;5129;5130;5312;5327;5466;5678;5755,166;172;256;310;399;717;845;849;921;1079;1105;1148;1643;1654;1763;1884;1902;2016;2204;2216;2240;2301;2312;2366;2390;2601;2665;2714;2715;2862;2887;3152;3357;3450;3498;3606;3711;4123;4236;4909;4995;4998;5090;5202;5332;5451;5575;5642;5682,334;419;732;915;1041;1130;1668;1683;1739;2017;2019;2157;2162;2361;2402;2469;2487;2514;2595;2695;2723;3040;3091;3198;3633;4086;4210;4459;4516;4774;4915;4992;5158;5185;5208;5318;5343;5388;5725;5739;5781
AT1G01050.1,174,61;252;320;777;940,123,57;177;270;271;277;349;354;468;502;508;533;534;674;743
AT1G01050.2,202,280;348;805,,205;298;299;305;377;382;496;530;536;561;562;702;771
AT1G01060.6,717;1299;2169;2432;2710;2748,38;226;481;682;711;762;805;986;1443;1534;1838;2249;2743;2753;2782;2827;2838,54;292;484;533;724;775;780;893;898;999;1023;1081;1089;1148;1172;1332;1420;1740;2039;2381;2477;2493;2668,326;368;371;629;735;1082;1245;1247;1380;1536;1722;1726;1849;1997;2154;2573;2619;2631;2702;2712;2754;2783
AT1G01060.3,433;897;1767;2030;2308;2346,112;197;398;427;478;521;584;1041;1132;1436;1847;2341;2351;2380;2425;2436,178;200;249;440;491;496;597;621;679;687;746;770;930;1018;1338;1637;1979;2075;2091;2266,345;451;680;843;845;978;1134;1320;1324;1447;1595;1752;2171;2217;2229;2300;2310;2352;2381
AT1G01060.1,516;980;1850;2113,7;195;280;481;510;561;604;667;1124;1215;1519;1930,23;261;283;332;523;574;579;680;704;762;770;829;853;1013;1101;1421;1720;2062;2158;2174;2349,428;534;763;926;928;1061;1217;1403;1407;1530;1678;1835;2254;2300;2312;2383
AT1G01060.7,716;1180;2050;2313,38;226;311;336;681;710;761;804;867;1324;1415;1719;2130,54;292;314;406;532;723;774;779;880;904;962;970;1029;1053;1213;1301;1621;1920;2262;2358;2374;2549,376;385;628;734;963;1126;1128;1261;1417;1603;1607;1730;1878;2035;2454;2500;2512;2583
AT1G01060.2,626;1090;1960;2223,135;390;591;620;671;714;777;1234;1325;1629;2040,201;393;442;633;684;689;790;814;872;880;939;963;1123;1211;1531;1830;2172;2268;2284;2459,235;277;280;538;644;873;1036;1038;1171;1327;1513;1517;1640;1788;1945;2364;2410;2422;2493
AT1G01060.4,456;917;1787;2050,135;220;421;450;501;544;607;1061;1152;1456;1867,201;223;272;463;514;519;620;644;702;710;769;793;950;1038;1358;1657;1999;2095;2111;2286,368;474;703;866;868;998;1154;1340;1344;1467;1615;1772;2191;2237;2249;2320
AT1G01060.8,245;709;1579;1842,210;239;290;333;396;853;944;1248;1659,61;252;303;308;409;433;491;499;558;582;742;830;1150;1449;1791;1887;1903;2078,157;263;492;655;657;790;946;1132;1136;1259;1407;1564;1983;2029;2041;2112
AT1G01060.5,717;1299;2169;2432,38;226;481;682;711;762;805;986;1443;1534;1838;2249,54;292;484;533;724;775;780;893;898;999;1023;1081;1089;1148;1172;1332;1420;1740;2039;2381;2477;2493;2668,326;368;371;629;735;1082;1245;1247;1380;1536;1722;1726;1849;1997;2154;2573;2619;2631;2702
AT1G01070.1,88;145;409;667,626;697;775;869;1541,217;298;372;398;526;556;601;835;942;955;991;1006;1524,55;66;156;226;472;511;692;708;928;961;1033;1641
AT1G01070.2,16;73;476;734,693;764;842;936,145;226;439;465;593;623;668;902;1009;1022;1058;1073,84;154;539;578;759;775;995;1028;1100
AT1G01080.3,723;1711,84;159;275;278;704;714;808;978;1016;1017;1752,799;1056;1076;1278;1553;1580;1683;1693;1728,170;715;729;990;1157;1196;1673
AT1G01080.1,723;1625,84;159;275;278;704;714;808;978;1016;1017;1666,799;1056;1076;1192;1467;1494;1597;1607;1642,170;715;729;990;1110;1587
AT1G01080.2,686,44;119;235;238;667;677;771;941;979;980,762;1019;1039;1155,130;678;692;953;1073
AT1G01090.1,462;651;723;1229;1410;1679,143;495;503;615;627;645;702;914;1121;1169;1277;1693,6;146;149;585;863;915;1375;1392,137;230;516;642;652;762;985;1023;1220;1306;1366;1687
AT1G01100.2,246;593,148;168;224;337;345;348;452;519;587;762,288;315;324;403;477;527;743;766,142;306;330;333;351;363;386;387;390;589
AT1G01100.1,206;553,108;128;184;297;305;308;412;479;547,28;248;275;284;363;437;487,42;102;266;290;293;311;323;346;347;350;549
AT1G01100.4,226;573,128;148;204;317;325;328;432;499;567,268;295;304;383;457;507,122;286;310;313;331;343;366;367;370;569
AT1G01100.3,233;532,135;155;211;391;458;526,275;342;416;466,129;290;302;325;326;329;528
AT1G01110.2,626;1572;1622,410;693;952;1022;1089;1278;1297;1593;1648;1698;1711;1749,429;522;752;1027;1145;1154;1170;1179;1206;1272;1285;1374;1417;1428;1506;1628;1649;1653;1778;1862,82;109;304;317;702;711;738;798;957;958;960;996;1115;1160;1418;1427;1673
AT1G01110.1,605;1551;1601,389;672;931;1001;1068;1257;1276;1572;1627;1677;1690;1728,408;501;731;1006;1124;1133;1149;1158;1185;1251;1264;1353;1396;1407;1485;1607;1628;1632;1757;1841,196;209;681;690;717;777;936;937;939;975;1094;1139;1397;1406;1652
AT1G01120.1,284;812;1167;1570;1784,512;584;740;774;1172;1643;1690;1757,268;293;385;454;530;741;753;845;884;996;1384;1408;1514;1526;1543;1655;1727,314;379;449;496;533;677;735;736;1089;1203;1204;1325;1333;1346;1347;1353;1385;1663;1673;1706;1769;1778
AT1G01130.1,246,191;194;269,176;292;306,159;179;180;212
AT1G01140.1,602;966,31;75;165;274;285;294;303;329;522;858;906;1129;1467;1685,42;84;288;305;841;847;1002;1123;1274;1369;1490,26;35;37;79;168;290;349;593;618;620;773;853;864;961;1003;1096;1243;1414;1449
AT1G01140.2,453;823,16;125;136;145;154;180;373;709;757;986;1324;1542,139;156;692;698;859;980;1131;1226;1347,19;141;200;444;469;471;624;704;715;818;860;953;1100;1271;1306
AT1G01140.3,453;817,16;125;136;145;154;180;373;709;757;980;1318;1548,139;156;692;698;853;974;1125;1220;1341,19;141;200;444;469;471;624;704;715;812;854;947;1094;1265;1300
AT1G01150.1,1094,540;618;745,224;355;422;559;568;992;1064,287;731;803;846;853;1031;1092
AT1G01150.2,986,540;618;745,224;355;422;559;568;956,287;731;803;846;853;984
AT1G01150.3,NA,540;618;745;1109,224;355;422;559;568;992,287;731;803;846;853;1011
AT1G01160.1,219;776;826;891,37;522;769;801,31;248;363;585;686;809,102;254;257;488;542;653;656;659;680;688;728;872
AT1G01160.2,201;860;910;975,19;606;853;885,13;230;327;360;410;447;669;770;893,84;236;239;572;626;737;740;743;764;772;812;956
AT1G01170.2,82;223,67;226;252,28;187,85;247;435
AT1G01170.1,94;235,73;238;264,34;199,97;259;447
AT1G01180.1,980;986,305;471;614;701;724;765;769;800;905;938;942;959;1001;1023;1055;1058;1199;1441,308;580;609;666;681;683;689;718;726;734;935;957,407;408;513;605;615;783;784;795;943;964;997;1020;1082;1097
AT1G01190.1,148;152;386;1101;1177;1208;1256;1286;1594,255;305;328;496;516;554;568;1001;1033;1037;1154;1349;1400;1447;1546;1562,281;335;465;681;900;902;1005;1210;1252;1262;1263;1364;1390;1412;1498;1532;1619;1643,149;325;464;562;782;803;837;899;1385;1472
AT1G01190.2,230;234;468;1183;1259;1290;1338;1368;1676,337;387;410;578;598;636;650;1083;1115;1119;1236;1431;1482;1529;1628;1644,363;417;547;763;982;984;1087;1292;1334;1344;1345;1446;1472;1494;1580;1614,231;407;546;644;864;885;919;981;1467;1554
AT1G01200.1,486;539,185;282;566;575;792;1022,292;381;513;633;782;789;884;995,76;293;470;481;507;545;734;760;825;876;885;958;1093
AT1G01210.2,183,171;348;359;442,,51;235;349;354;429
AT1G01210.3,145,133;310;321;404;538;571,600;642;685;781,197;311;316;391
AT1G01210.1,138,126;303;314;397,,190;304;309;384
AT1G01220.4,439;740;753;1158;1282;1339;1419;2119;2218;2330;2397;2786;2802;2944;3064,20;309;424;456;483;530;1163;1262;1291;1678;1708;1821;2552;2583;2733;2930;2940;3100;3187;3191;3240;3362;3392;3401;3474,28;366;459;465;1120;1265;1444;1580;2014;2075;2113;2314;2520;2527;2531;2704;2917;3182;3231;3277;3399;3410;3551;3552,375;397;406;421;444;452;462;511;539;544;659;710;867;890;897;1136;1151;1169;1173;1294;1330;1450;1845;2043;2336;2456;2631;2633;2640;2729;2780;2809;2851;3091;3257;3265;3443
